[frame 00083] webcam=106.2ms  encode=65.2ms  decode=11.4ms  reproject=0.0ms  render=27.7ms  grid=4.8ms  imwrite=0.0ms  stream=1.5ms  TOTAL=216.7ms  (4.6 fps)
[frame 00084] webcam=99.8ms  encode=58.1ms  decode=10.8ms  reproject=0.0ms  render=30.0ms  grid=5.1ms  imwrite=0.0ms  stream=2.4ms  TOTAL=206.4ms  (4.8 fps)
[frame 00085] webcam=93.0ms  encode=56.7ms  decode=10.5ms  reproject=0.0ms  render=23.9ms  grid=5.1ms  imwrite=0.0ms  stream=1.4ms  TOTAL=190.6ms  (5.2 fps)
[frame 00086] webcam=99.6ms  encode=53.1ms  decode=10.4ms  reproject=0.0ms  render=24.1ms  grid=6.4ms  imwrite=0.0ms  stream=1.7ms  TOTAL=195.4ms  (5.1 fps)
[frame 00087] webcam=98.8ms  encode=59.4ms  decode=10.5ms  reproject=0.0ms  render=24.4ms  grid=5.2ms  imwrite=0.0ms  stream=1.5ms  TOTAL=199.9ms  (5.0 fps)
[frame 00088] webcam=97.5ms  encode=65.7ms  decode=11.0ms  reproject=0.0ms  render=25.6ms  grid=4.6ms  imwrite=0.0ms  stream=1.5ms  TOTAL=206.0ms  (4.9 fps)
[frame 00089] webcam=97.7ms  encode=63.0ms  decode=12.5ms  reproject=0.0ms  render=24.6ms  grid=5.6ms  imwrite=0.0ms  stream=1.5ms  TOTAL=205.0ms  (4.9 fps)
[frame 00090] webcam=97.1ms  encode=61.6ms  decode=12.1ms  reproject=0.0ms  render=27.3ms  grid=4.6ms  imwrite=0.0ms  stream=1.5ms  TOTAL=204.2ms  (4.9 fps)
[frame 00091] webcam=98.9ms  encode=67.8ms  decode=11.7ms  reproject=0.0ms  render=26.4ms  grid=4.8ms  imwrite=0.0ms  stream=1.4ms  TOTAL=211.1ms  (4.7 fps)
[frame 00092] webcam=96.8ms  encode=69.0ms  decode=11.0ms  reproject=0.0ms  render=27.9ms  grid=5.2ms  imwrite=0.0ms  stream=1.5ms  TOTAL=211.3ms  (4.7 fps)
[frame 00093] webcam=93.8ms  encode=56.8ms  decode=11.0ms  reproject=0.0ms  render=35.0ms  grid=4.4ms  imwrite=0.0ms  stream=1.6ms  TOTAL=202.7ms  (4.9 fps)
[frame 00094] webcam=96.9ms  encode=64.7ms  decode=11.8ms  reproject=0.0ms  render=27.1ms  grid=4.8ms  imwrite=0.0ms  stream=1.5ms  TOTAL=206.9ms  (4.8 fps)
[frame 00095] webcam=98.1ms  encode=70.9ms  decode=12.0ms  reproject=0.0ms  render=25.5ms  grid=5.2ms  imwrite=0.0ms  stream=2.2ms  TOTAL=213.9ms  (4.7 fps)
[frame 00096] webcam=102.1ms  encode=58.7ms  decode=11.4ms  reproject=0.0ms  render=25.7ms  grid=5.1ms  imwrite=0.0ms  stream=1.5ms  TOTAL=204.4ms  (4.9 fps)
[frame 00097] webcam=99.4ms  encode=55.6ms  decode=10.4ms  reproject=0.0ms  render=31.3ms  grid=5.2ms  imwrite=0.0ms  stream=1.5ms  TOTAL=203.6ms  (4.9 fps)
